SiteN,Etheostoma_radiosum,Lepomis_megalotis,Lepomis_macrochirus,Lepomis_gulosus,Lepomis_cyanellus,Lepomis_marginatus,Lepomis_humilis,Lepomis_microlophus,Lepomis_spp,Micopterus_punctulatus,Micropterous_salmoides ,Etheostoma_parvipinne,Etheostoma_spectabile,Etheostomas_chlorosoma ,Etheostoma_gracile,Percina_sciera,Percina_phoxoxephala,Percina_caprodes,Fundulus_notatus,Fundulus_olivaceus,Campostoma_spacideum,Campostoma_anomalum,Nototropis_boops,Notropis_stramineus,Notropis_texanus,Notropis_volucellus,Cyprinella_venusta,Cyprinella_lutrensis,Pimephales_vigilax,Pimephales_notatus,Gambusia_affinis,Noturus_eleutherus,Noturus_sp,Ameiurus_natalis,Erimyzon_oblongus,Ictalurus_punctatus,Esox_americanus,Semotilus_atromaculatus,Lepisosteus_oculatus,Labidesthes_sicculus,Notemigonus_crysoleucas,Dorosoma_cepedianum,Cyprinus_carpio,Macrohybopsis_storeriana,Minytrema_melanops,Aplodinotus_grunniens,Phenocobius_mirabalis,Ellasoma_zonatum,Aphredoderus_sayanus,Lyrthrus_umbratilis,Lyrthrus_fumeus,Moxostoma_erythrurum,t_species,t_population
11,0,28,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63
12,17,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49
13,32,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80
14,0,22,0,21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,5,0,0,0,2,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,96
15,0,17,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48
16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,31,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36
19,5,31,5,5,6,0,7,0,13,0,1,0,0,0,0,15,3,1,0,0,0,0,0,0,3,0,0,55,16,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,172
20,0,13,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,109
