SiteN,State,Lat,Long,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus,t_population,t_species
13,TX,33.791936,-96.530699,18.6,7.71,5.16666,36.25,16.66667,50,33.33333,10,10,26.7,15,23.3,6.7,8.3,0,0,14.119,0.69,3.1775,0.66142686,6.81,0.95,0,0,0,24,2,0,0,0,0,0,32,0,2,0,0,0,6,0,0,0,0,0,0,0,13,1,0,0,0,0,80,7
14,TX,33.636749,-96.435176,6.3,7.88,7.1,27.91666,33.333333,33.333333,33.333333,64.2,1.7,19.2,12.5,2.5,0,0,83.333333,16.66667,86.466,0.16,21.25833333,0.674983665,45.52,5.81,0,0,0,0,2,0,0,0,0,0,0,14,23,0,0,0,45,0,0,0,0,0,0,0,5,0,1,0,6,0,96,7
15,TX,33.48,-96.341,7.3,7.74,6.25833,25.08333,16.66667,50,33.33333,11.3,0,29.2,20,4.6,2.5,32.5,100,33.33333,14.381,0.42,3.929166667,0.676821709,8.21,0.97,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,48,3
16,TX,33.496,-96.388,10.3,6.8,3.55,4.58333,0,66.66667,33.33333,0,0.4,7.9,10.8,8.3,7.5,65,100,16.66667,5.37,0.62,1.396666667,0.678742563,2.96,0.36,1,0,0,53,31,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6
17,TX,33.642,-96.181,4.9,7.26,4.05,39.375,75,0,25,86.3,7.5,4.4,1.9,0,0,0,25,100,8.086,0.35,2.386666667,0.684039271,5,0.65,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3
18,TX,33.664,-96.181,8.6,7.64,3.033333,7.16666,0,66.66667,33.33333,62.5,28.8,7.1,1.7,0,0,0,16.66667,66.66667,11.075,0.29,3.281666667,0.682077498,6.85,0.89,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3
19,TX,33.871,-95.544,7.7,7.62,6.20714,21.21429,28.57142857,28.57142857,42.85714286,83.2,0,8.6,6.8,0.7,0.7,0,57.14285714,57.14285714,496.258,0.03,170.2858333,0.6911456,349.65,45.63,0,0,0,0,55,0,0,0,0,0,5,0,3,0,0,0,67,0,0,1,0,0,0,0,3,3,19,0,16,0,172,9
20,TX,33.756,-96.521,5.7,7.63,2.86166,30,33.33333,33.33333,33.33333,4.2,5.8,35.8,30.8,10.8,11.7,0.8,100,0,10.52,0.92,2.4075,0.661275425,5.18,0.71,2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,109,3
21,TX,33.609,-96.605,7.1,7.64,8.005,20.16667,16.66667,50,33.333333,1.7,14.2,40,30.8,10,2.5,2.5,83.33333,33.333333,92.335,0.15,20.8675,0.691694976,46.84,6.21,0,0,0,17,60,0,0,0,0,0,0,9,2,0,0,0,12,0,0,0,0,0,0,0,53,0,0,1,13,0,167,8
22,TX,33.81,-96.678,7.1,7.57,7.45833,45.41666,50,33.33333,16.66667,15.8,2.5,15,20.8,29.2,9.2,7.5,83.33333,16.66667,42.726,0.34,9.7125,0.666878661,21.19,2.87,2,0,0,0,8,0,0,0,0,0,19,0,2,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5
